19.94,19.94,-0.13,0.0805768,0.0402884,0.1611531
19.81,39.75,-0.06,0.0805768,0.0402884,0.1611531
19.75,59.5,-0.13,0.0805768,0.0402884,0.1611531
19.62,79.12,-0.12,0.0805768,0.0402884,0.1611531
19.5,98.62,-0.13,0.0805768,0.0402884,0.1611531
19.37,117.99,-0.12,0.0805768,0.0402884,0.1611531
19.25,137.24,-0.13,0.0805768,0.0402884,0.1611531
19.12,156.36,-0.12,0.0805768,0.0402884,0.1611531
19,175.36,-0.13,0.0805768,0.0402884,0.1611531
18.87,194.23,-0.12,0.0805768,0.0402884,0.1611531
18.75,212.98,-0.13,0.0805768,0.0402884,0.1611531
18.62,231.6,-0.06,0.0805768,0.0402884,0.1611531
18.56,250.16,-0.19,0.0805768,0.0402884,0.1611531
18.37,268.53,-0.12,0.0805768,0.0402884,0.1611531
18.25,286.78,-0.13,0.0805768,0.0402884,0.1611531
18.12,304.9,-0.12,0.0805768,0.0402884,0.1611531
18,322.9,-0.13,0.0805768,0.0402884,0.1611531
17.87,340.77,-0.12,0.0805768,0.0402884,0.1611531
17.75,358.52,-0.13,0.0805768,0.0402884,0.1611531
17.62,376.14,-0.12,0.0805768,0.0402884,0.1611531
17.5,393.64,-0.19,0.0805768,0.0402884,0.1611531
17.31,410.95,-0.12,0.0805768,0.0402884,0.1611531
17.19,428.14,-0.13,0.0805768,0.0402884,0.1611531
17.06,445.2,-0.12,0.0805768,0.0402884,0.1611531
16.94,462.14,-0.13,0.0805768,0.0402884,0.1611531
16.81,478.95,-0.19,0.0805768,0.0402884,0.1611531
16.62,495.57,-0.12,0.0805768,0.0402884,0.1611531
16.5,512.07,-0.13,0.0805768,0.0402884,0.1611531
16.37,528.44,-0.12,0.0805768,0.0402884,0.1611531
16.25,544.69,-0.13,0.0805768,0.0402884,0.1611531
16.12,560.81,-0.18,0.0805768,0.0402884,0.1611531
15.94,576.75,-0.13,0.0805768,0.0402884,0.1611531
15.81,592.56,-0.19,0.0805768,0.0402884,0.1611531
15.62,608.18,-0.12,0.0805768,0.0402884,0.1611531
15.5,623.68,-0.19,0.0805768,0.0402884,0.1611531
15.31,638.99,-0.12,0.0805768,0.0402884,0.1611531
15.19,654.18,-0.13,0.0805768,0.0402884,0.1611531
15.06,669.24,-0.12,0.0805768,0.0402884,0.1611531
14.94,684.18,-0.19,0.0805768,0.0402884,0.1611531
14.75,698.93,-0.13,0.0805768,0.0402884,0.1611531
14.62,713.55,-0.12,0.0805768,0.0402884,0.1611531
14.5,728.05,-0.19,0.0805768,0.0402884,0.1611531
14.31,742.36,-0.12,0.0805768,0.0402884,0.1611531
14.19,756.55,-0.19,0.0805768,0.0402884,0.1611531
14,770.55,-0.13,0.0805768,0.0402884,0.1611531
13.87,784.42,-0.18,0.0805768,0.0402884,0.1611531
13.69,798.11,-0.13,0.0805768,0.0402884,0.1611531
13.56,811.67,-0.12,0.0805768,0.0402884,0.1611531
13.44,825.11,-0.19,0.0805768,0.0402884,0.1611531
13.25,838.36,-0.13,0.0805768,0.0402884,0.1611531
13.12,851.48,-0.18,0.0805768,0.0402884,0.1611531
12.94,864.42,-0.13,0.0805768,0.0402884,0.1611531
12.81,877.23,-0.19,0.0805768,0.0402884,0.1611531
12.62,889.85,-0.12,0.0805768,0.0402884,0.1611531
12.5,902.35,-0.19,0.0805768,0.0402884,0.1611531
12.31,914.66,-0.12,0.0805768,0.0402884,0.1611531
12.19,926.85,-0.19,0.0805768,0.0402884,0.1611531
12,938.85,-0.13,0.0805768,0.0402884,0.1611531
11.87,950.72,-0.18,0.0805768,0.0402884,0.1611531
11.69,962.41,-0.13,0.0805768,0.0402884,0.1611531
11.56,973.97,-0.19,0.0805768,0.0402884,0.1611531
11.37,985.34,-0.12,0.0805768,0.0402884,0.1611531
